month_full,product_pack,active_ingredients,dosage,value,quantity,shortage,base_no_shortage_estimate,price_per_piece,xaxis_months
2014-01-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,134831.38,1972537,,134831.38,0.0683542970296628,Jan 14
2014-02-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,122818.59,1798512,,122818.59,0.0682890022418533,Feb 14
2014-03-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,135355.48,1976545,,135355.48,0.0684808491585064,Mar 14
2014-04-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,130669.05,1983265,,130669.05,0.0658858246376556,Apr 14
2014-05-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,137425.63,2087247,,137425.63,0.0658406168508088,May 14
2014-06-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,130474.44,1980017,,130474.44,0.065895616047741,Jun 14
2014-07-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,145317.66,2139696,,145317.66,0.0679150963501357,Jul 14
2014-08-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,137332.82,2017315,,137332.82,0.0680770330860575,Aug 14
2014-09-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,141917.33,2088296,,141917.33,0.0679584359688473,Sep 14
2014-10-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,166280.2,2178318,,166280.2,0.0763342175017605,Oct 14
2014-11-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,153477.79,2006350,,153477.79,0.076496020136068,Nov 14
2014-12-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,174020.06,2276485,,174020.06,0.0764424364755314,Dec 14
2015-01-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,142506.68,2141867,,142506.68,0.0665338604124346,Jan 15
2015-02-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,133404.91,2005787,,133404.91,0.06651000829101,Feb 15
2015-03-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,148271.52,2233521,,148271.52,0.0663846545432078,Mar 15
2015-04-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,149868.1,2218510,,149868.1,0.0675534931102407,Apr 15
2015-05-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,148297.54,2196411,,148297.54,0.0675181193319465,May 15
2015-06-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,154385.82,2284295,,154385.82,0.067585762784579,Jun 15
2015-07-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,157526.07,2406922,,157526.07,0.0654471021495503,Jul 15
2015-08-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,143704.24,2193098,,143704.24,0.0655256810229183,Aug 15
2015-09-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,153604.56,2350192,,153604.56,0.0653583026408055,Sep 15
2015-10-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,820498.6,2332965,TRUE,152478.632520407,0.351697775148791,Oct 15
2015-11-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,810750.43,2301542,TRUE,150424.878576525,0.352264016906926,Nov 15
2015-12-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,903610.7,2562432,TRUE,167476.206152485,0.352637923660023,Dec 15
2016-01-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,812933.01,2305212,TRUE,150664.743547217,0.352649999219161,Jan 16
2016-02-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,735038.16,2276098,TRUE,148761.901924132,0.322937834838395,Feb 16
2016-03-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,871116.76,2471666,TRUE,161543.894454989,0.352441130800035,Mar 16
2016-04-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,663103.44,2497318,,163220.465634331,0.265526232542271,Apr 16
2016-05-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,644392.26,2427344,,158647.083765343,0.265472162165725,May 16
2016-06-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,601405.49,2509394,,164009.732497022,0.239661643408727,Jun 16
2016-07-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,799468.8,2476689,,161872.189209154,0.322797412190227,Jul 16
2016-08-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,811909.81,2515747,,164424.953793699,0.322731105313849,Aug 16
2016-09-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,821731.77,2545572,,166374.265169961,0.322808300059869,Sep 16
2016-10-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,501839.06,2452835,,160313.13225796,0.204595523139551,Oct 16
2016-11-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,523741.96,2559502,,167284.706325747,0.204626509375652,Nov 16
2016-12-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,550217,2689379,,175773.246597827,0.204588866054208,Dec 16
2017-01-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,548830.76,2479840,,162078.133220775,0.22131700432286,Jan 17
2017-02-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,528391.07,2388619,,156116.083495578,0.221211951340921,Feb 17
2017-03-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,608162.62,2747390,,179564.747092323,0.221360134527679,Mar 17
2017-04-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,425452.73,2486120,,162488.583361359,0.171131212491754,Apr 17
2017-05-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,459736.86,2693629,,176051.01938405,0.170675642414007,May 17
2017-06-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,462259.06,2708905,,177049.432815191,0.170644249244621,Jun 17
2017-07-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,405339.83,2651298,,173284.337074962,0.152883542325306,Jul 17
2017-08-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,371844.16,2698315,,176357.288390225,0.137806060448836,Aug 17
2017-09-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,364322.65,2649053,,173137.607685534,0.137529392579159,Sep 17
2017-10-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,471579.67,2688721,,175730.240834689,0.175391820125629,Oct 17
2017-11-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,485781.04,2771595,,181146.744807743,0.175271293244504,Nov 17
2017-12-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,494396.15,2820580,,184348.321262603,0.175281732835091,Dec 17
2018-01-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,356922.6,2805343,,183352.456805265,0.127229575848657,Jan 18
2018-02-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,327445.39,2573696,,168212.402073431,0.127227687341473,Feb 18
2018-03-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,366329.07,2879088,,188172.304833511,0.127237885747153,Mar 18
2018-04-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,398648.89,2804651,,183307.228859838,0.142138501367906,Apr 18
2018-05-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,417410.83,2937466,,191987.791825076,0.142098948549532,May 18
2018-06-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,405436,2854675,,186576.712591142,0.142025274330703,Jun 18
2018-07-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,309301.75,2888866,,188811.378316733,0.107066838683414,Jul 18
2018-08-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,368825.92,2994095,,195688.967145323,0.123184441375441,Aug 18
2018-09-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,342797.54,2782638,,181868.496543806,0.123191568576293,Sep 18
2018-10-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,844006.56,3003422,TRUE,196298.564034053,0.281014975584517,Oct 18
2018-11-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,696206.44,2985707,TRUE,195140.741702772,0.233179759433863,Nov 18
2018-12-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,666669.23,3023604,TRUE,197617.62529795,0.220488274919599,Dec 18
2019-01-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,549534.54,3063430,TRUE,200220.585058923,0.179385375216669,Jan 19
2019-02-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,382381.39,2806474,TRUE,183426.377045552,0.136249753249095,Feb 19
2019-03-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,482537.19,3044524,TRUE,198984.920989196,0.158493475498961,Mar 19
2019-04-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,420775.7,3044981,,199014.789733503,0.138186642215502,Apr 19
2019-05-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,449140.47,3252318,,212565.984128139,0.138098571541897,May 19
2019-06-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,421951.83,3026633,,197815.595596649,0.139412948315835,Jun 19
2019-07-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,424299.1,3107324,,203089.422395038,0.136548071588286,Jul 19
2019-08-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,514668.17,3364628,,219906.375097728,0.152964360398832,Aug 19
2019-09-01,Lercanidipine 20mg tablets,Lercanidipine,Tablet,473060.51,3096169,,202360.35052908,0.152788982125976,Sep 19
